match_id,innings,start_date,year,batter,batting_team,bowling_team,venue,balls_faced,runs,event,wicket_type,batting_position,entry_over,runs_at_entry,wickets_at_entry,is_chasing,career_innings,career_avg,career_sr,career_balls_per_dismissal
423792,1,2010-03-06,2010,SR Watson,Australia,New Zealand,Eden Park,48,47,1,caught,1,0,0,0,0,8,42.625,97.98850574712644,43.5
423792,1,2010-03-06,2010,BJ Haddin,Australia,New Zealand,Eden Park,62,53,1,caught and bowled,2,1,2,0,0,8,25.2,94.73684210526316,26.6
423792,1,2010-03-06,2010,RT Ponting,Australia,New Zealand,Eden Park,4,1,1,caught,3,13,74,1,0,11,46.4,81.11888111888112,57.2
423792,1,2010-03-06,2010,MJ Clarke,Australia,New Zealand,Eden Park,26,11,1,caught,4,15,77,2,0,9,41.625,76.905311778291,54.125
423792,1,2010-03-06,2010,CL White,Australia,New Zealand,Eden Park,60,54,1,caught,5,22,111,3,0,10,40.2,81.04838709677419,49.6
423792,1,2010-03-06,2010,MEK Hussey,Australia,New Zealand,Eden Park,63,56,1,caught,6,23,113,4,0,9,53.42857142857143,100.0,53.42857142857143
423792,1,2010-03-06,2010,JR Hopes,Australia,New Zealand,Eden Park,24,29,1,run out,7,42,212,5,0,6,36.8,119.48051948051948,30.8
423792,1,2010-03-06,2010,MG Johnson,Australia,New Zealand,Eden Park,13,16,0,,8,45,233,6,0,5,21.333333333333332,112.28070175438596,19.0
439141,2,2010-03-06,2010,CH Gayle,West Indies,Zimbabwe,Providence Stadium,111,88,1,bowled,1,0,0,0,1,6,22.4,107.6923076923077,20.8
439141,2,2010-03-06,2010,N Deonarine,West Indies,Zimbabwe,Providence Stadium,85,65,0,,6,25,74,4,1,5,23.2,69.46107784431138,33.4
439141,2,2010-03-06,2010,KA Pollard,West Indies,Zimbabwe,Providence Stadium,5,7,1,caught,7,41,149,5,1,5,35.0,90.20618556701031,38.8
423793,1,2010-03-09,2010,BB McCullum,New Zealand,Australia,Seddon Park,25,23,1,bowled,1,0,0,0,0,5,19.4,105.43478260869566,18.4
423793,1,2010-03-09,2010,PJ Ingram,New Zealand,Australia,Seddon Park,3,5,1,caught,2,0,1,0,0,5,35.2,80.73394495412845,43.6
423793,1,2010-03-09,2010,MJ Guptill,New Zealand,Australia,Seddon Park,28,21,1,caught,3,2,13,1,0,5,30.4,79.16666666666667,38.4
423793,1,2010-03-09,2010,NT Broom,New Zealand,Australia,Seddon Park,40,24,1,caught,5,10,53,3,0,5,21.6,83.72093023255815,25.8
423793,2,2010-03-09,2010,SR Watson,Australia,New Zealand,Seddon Park,22,15,1,run out,1,0,0,0,1,9,43.111111111111114,97.97979797979798,44.0
423793,2,2010-03-09,2010,BJ Haddin,Australia,New Zealand,Seddon Park,121,110,1,stumped,2,1,8,0,1,9,29.833333333333332,91.7948717948718,32.5
423793,2,2010-03-09,2010,RT Ponting,Australia,New Zealand,Seddon Park,71,69,1,caught,3,7,24,1,1,12,42.27272727272727,80.72916666666667,52.36363636363637
423793,2,2010-03-09,2010,MEK Hussey,Australia,New Zealand,Seddon Park,15,9,1,caught,4,32,171,2,1,10,53.75,98.39816933638444,54.625
423793,2,2010-03-09,2010,CL White,Australia,New Zealand,Seddon Park,36,25,0,,5,35,184,3,1,11,41.45454545454545,82.01438848920863,50.54545454545455
439142,1,2010-03-10,2010,CH Gayle,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",53,33,1,stumped,1,0,0,0,0,7,33.333333333333336,93.02325581395348,35.833333333333336
439142,1,2010-03-10,2010,D Ramdin,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",37,19,1,caught,4,25,83,2,0,5,14.6,74.48979591836735,19.6
439142,1,2010-03-10,2010,N Deonarine,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",21,21,1,caught,5,38,145,3,0,6,36.2,71.82539682539682,50.4
439142,1,2010-03-10,2010,KA Pollard,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",11,17,1,stumped,7,45,187,5,0,6,30.333333333333332,91.4572864321608,33.166666666666664
439142,1,2010-03-10,2010,NO Miller,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",1,0,1,bowled,10,49,228,8,0,5,16.333333333333332,111.36363636363636,14.666666666666666
423794,1,2010-03-11,2010,BB McCullum,New Zealand,Australia,Eden Park,75,61,1,caught,1,0,0,0,0,6,20.0,102.56410256410257,19.5
423794,1,2010-03-11,2010,MJ Guptill,New Zealand,Australia,Eden Park,22,30,1,caught,2,0,1,0,0,6,28.833333333333332,78.63636363636364,36.666666666666664
423794,1,2010-03-11,2010,LRPL Taylor,New Zealand,Australia,Eden Park,37,15,1,caught,3,7,60,1,0,5,52.8,105.1792828685259,50.2
423794,1,2010-03-11,2010,DL Vettori,New Zealand,Australia,Eden Park,18,12,1,lbw,6,24,110,4,0,5,35.0,121.73913043478261,28.75
423794,1,2010-03-11,2010,JEC Franklin,New Zealand,Australia,Eden Park,27,10,1,bowled,8,30,132,6,0,5,18.333333333333332,58.51063829787234,31.333333333333332
423794,2,2010-03-11,2010,SR Watson,Australia,New Zealand,Eden Park,41,32,1,lbw,1,0,0,0,1,10,40.3,96.41148325358851,41.8
423794,2,2010-03-11,2010,BJ Haddin,Australia,New Zealand,Eden Park,1,0,1,caught,2,0,0,0,1,10,41.285714285714285,91.45569620253164,45.142857142857146
423794,2,2010-03-11,2010,RT Ponting,Australia,New Zealand,Eden Park,35,50,1,lbw,3,0,0,1,1,13,44.5,82.53477588871715,53.916666666666664
423794,2,2010-03-11,2010,CL White,Australia,New Zealand,Eden Park,57,50,0,,4,12,81,2,1,12,43.72727272727273,81.25,53.81818181818182
423794,2,2010-03-11,2010,AC Voges,Australia,New Zealand,Eden Park,36,34,1,caught,5,14,82,3,1,5,35.333333333333336,82.8125,42.666666666666664
423794,2,2010-03-11,2010,MEK Hussey,Australia,New Zealand,Eden Park,17,28,0,,6,25,143,4,1,11,48.77777777777778,97.12389380530973,50.22222222222222
439143,2,2010-03-12,2010,CH Gayle,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",20,32,1,caught,2,0,3,0,1,8,33.285714285714285,86.94029850746269,38.285714285714285
439143,2,2010-03-12,2010,D Ramdin,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",26,12,1,lbw,4,9,55,2,1,6,15.333333333333334,68.14814814814815,22.5
439143,2,2010-03-12,2010,N Deonarine,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",68,32,0,,5,10,59,3,1,7,33.666666666666664,73.99267399267399,45.5
439143,2,2010-03-12,2010,KA Pollard,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",40,22,1,caught and bowled,7,22,95,5,1,7,28.428571428571427,94.76190476190476,30.0
423795,1,2010-03-13,2010,BB McCullum,New Zealand,Australia,Westpac Stadium,13,1,1,caught,1,0,0,0,0,7,25.857142857142858,94.27083333333333,27.428571428571427
423795,1,2010-03-13,2010,MJ Guptill,New Zealand,Australia,Westpac Stadium,14,7,1,run out,2,0,1,0,0,7,29.0,83.88429752066116,34.57142857142857
423795,1,2010-03-13,2010,LRPL Taylor,New Zealand,Australia,Westpac Stadium,55,30,1,caught,3,4,8,1,0,6,46.5,96.875,48.0
423795,1,2010-03-13,2010,DL Vettori,New Zealand,Australia,Westpac Stadium,39,28,1,bowled,6,19,64,4,0,6,30.4,114.28571428571429,26.6
423795,2,2010-03-13,2010,SR Watson,Australia,New Zealand,Westpac Stadium,79,53,1,caught,1,0,0,0,1,11,39.54545454545455,94.77124183006536,41.72727272727273
423795,2,2010-03-13,2010,BJ Haddin,Australia,New Zealand,Westpac Stadium,21,17,1,caught,2,0,1,0,1,11,36.125,91.16719242902208,39.625
423795,2,2010-03-13,2010,RT Ponting,Australia,New Zealand,Westpac Stadium,1,0,1,caught,3,6,27,1,1,14,44.92307692307692,85.63049853372434,52.46153846153846
423795,2,2010-03-13,2010,CL White,Australia,New Zealand,Westpac Stadium,21,6,1,caught,4,6,27,2,1,13,48.27272727272727,81.81818181818181,59.0
423795,2,2010-03-13,2010,AC Voges,Australia,New Zealand,Westpac Stadium,17,5,1,caught,5,13,45,3,1,6,35.0,85.36585365853658,41.0
423795,2,2010-03-13,2010,MEK Hussey,Australia,New Zealand,Westpac Stadium,55,46,1,bowled,6,20,72,4,1,12,51.888888888888886,99.57356076759062,52.111111111111114
423795,2,2010-03-13,2010,JR Hopes,Australia,New Zealand,Westpac Stadium,56,40,1,caught,7,26,94,5,1,7,35.5,119.66292134831461,29.666666666666668
423795,2,2010-03-13,2010,MG Johnson,Australia,New Zealand,Westpac Stadium,8,6,1,caught,8,38,143,6,1,6,26.666666666666668,114.28571428571429,23.333333333333332
423795,2,2010-03-13,2010,NM Hauritz,Australia,New Zealand,Westpac Stadium,11,9,1,caught,9,40,154,7,1,7,28.0,112.0,25.0
439144,2,2010-03-14,2010,CH Gayle,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",41,63,1,caught,2,1,8,0,1,9,33.125,92.01388888888889,36.0
439144,2,2010-03-14,2010,D Ramdin,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",34,21,0,,4,15,91,2,1,7,14.857142857142858,64.59627329192547,23.0
439144,2,2010-03-14,2010,N Deonarine,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",6,3,1,caught,5,16,91,3,1,8,39.0,68.6217008797654,56.833333333333336
439144,2,2010-03-14,2010,KA Pollard,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",20,36,1,caught,7,19,99,5,1,8,27.625,88.4,31.25
439147,2,2010-05-22,2010,CH Gayle,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",39,45,1,caught,2,0,1,0,1,10,36.44444444444444,99.69604863221885,36.55555555555556
439147,2,2010-05-22,2010,N Deonarine,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",48,26,1,caught,5,13,66,3,1,9,33.857142857142854,68.29971181556196,49.57142857142857
439147,2,2010-05-22,2010,D Ramdin,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",29,17,1,bowled,6,26,125,4,1,8,17.857142857142858,64.1025641025641,27.857142857142858
439147,2,2010-05-22,2010,KA Pollard,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",37,44,1,caught,7,29,134,5,1,9,28.555555555555557,95.18518518518519,30.0
439147,2,2010-05-22,2010,DJG Sammy,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",6,2,1,caught,8,38,184,6,1,5,64.0,98.46153846153847,65.0
439147,2,2010-05-22,2010,NO Miller,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",16,13,0,,9,39,189,7,1,6,12.25,108.88888888888889,11.25
439148,2,2010-05-24,2010,CH Gayle,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",35,26,1,caught,1,0,0,0,1,11,37.3,101.3586956521739,36.8
439148,2,2010-05-24,2010,N Deonarine,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",17,7,1,caught,4,12,46,1,1,10,32.875,66.58227848101266,49.375
439148,2,2010-05-24,2010,KA Pollard,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",35,29,1,caught,6,28,113,3,1,10,30.1,98.0456026058632,30.7
439148,2,2010-05-24,2010,D Ramdin,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",4,2,1,run out,8,39,178,5,1,9,17.75,63.392857142857146,28.0
439148,2,2010-05-24,2010,DJG Sammy,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",24,58,0,,9,42,200,6,1,6,33.0,92.95774647887323,35.5
439148,2,2010-05-24,2010,R Rampaul,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",8,5,1,run out,10,44,218,8,1,5,8.4,82.3529411764706,10.2
439148,2,2010-05-24,2010,NO Miller,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",1,0,1,run out,11,48,264,9,1,7,15.5,101.63934426229508,15.25
439149,1,2010-05-28,2010,JH Kallis,South Africa,West Indies,"Windsor Park, Roseau",41,31,1,caught,3,9,52,1,0,5,72.5,96.66666666666667,75.0
439149,1,2010-05-28,2010,AB de Villiers,South Africa,West Indies,"Windsor Park, Roseau",80,70,1,run out,4,16,90,2,0,5,80.0,120.37617554858934,106.33333333333333
439149,2,2010-05-28,2010,CH Gayle,West Indies,South Africa,"Windsor Park, Roseau",20,16,1,caught,1,0,0,0,1,12,36.27272727272727,99.0074441687345,36.63636363636363
439149,2,2010-05-28,2010,DJ Bravo,West Indies,South Africa,"Windsor Park, Roseau",29,13,1,caught,5,13,57,3,1,5,23.8,104.3859649122807,22.8
439149,2,2010-05-28,2010,KA Pollard,West Indies,South Africa,"Windsor Park, Roseau",17,10,1,caught,6,20,79,4,1,11,30.0,96.49122807017544,31.09090909090909
439149,2,2010-05-28,2010,DJG Sammy,West Indies,South Africa,"Windsor Park, Roseau",25,14,1,caught,7,23,85,5,1,7,62.0,130.52631578947367,47.5
439149,2,2010-05-28,2010,D Ramdin,West Indies,South Africa,"Windsor Park, Roseau",20,15,0,,8,29,106,6,1,10,16.0,63.1578947368421,25.333333333333332
439149,2,2010-05-28,2010,R Rampaul,West Indies,South Africa,"Windsor Park, Roseau",10,7,1,caught,11,36,136,9,1,6,7.833333333333333,79.66101694915254,9.833333333333334
452146,1,2010-05-28,2010,KD Karthik,India,Zimbabwe,Queens Sports Club,39,22,1,caught,1,0,0,0,0,5,43.2,93.50649350649351,46.2
452146,1,2010-05-28,2010,SK Raina,India,Zimbabwe,Queens Sports Club,53,37,1,caught,4,12,34,3,0,6,79.25,100.63492063492063,78.75
452146,2,2010-05-28,2010,H Masakadza,Zimbabwe,India,Queens Sports Club,43,46,1,bowled,1,0,0,0,1,5,18.0,75.63025210084034,23.8
452146,2,2010-05-28,2010,BRM Taylor,Zimbabwe,India,Queens Sports Club,103,81,1,caught,2,0,1,0,1,5,15.0,60.0,25.0
452146,2,2010-05-28,2010,GA Lamb,Zimbabwe,India,Queens Sports Club,43,27,1,lbw,3,13,88,1,1,5,15.0,35.92814371257485,41.75
452146,2,2010-05-28,2010,E Chigumbura,Zimbabwe,India,Queens Sports Club,16,24,0,,6,43,224,4,1,5,29.6,71.84466019417475,41.2
439150,1,2010-05-30,2010,CH Gayle,West Indies,South Africa,"Windsor Park, Roseau",28,29,1,caught,2,1,4,0,0,13,34.583333333333336,98.10874704491725,35.25
439150,1,2010-05-30,2010,S Chanderpaul,West Indies,South Africa,"Windsor Park, Roseau",89,66,1,caught,3,11,64,1,0,5,32.8,65.6,50.0
439150,1,2010-05-30,2010,DJ Bravo,West Indies,South Africa,"Windsor Park, Roseau",51,46,1,bowled,4,23,107,2,0,6,22.0,92.3076923076923,23.833333333333332
439150,1,2010-05-30,2010,KA Pollard,West Indies,South Africa,"Windsor Park, Roseau",18,26,1,bowled,6,41,208,4,0,12,28.333333333333332,94.70752089136491,29.916666666666668
439150,1,2010-05-30,2010,DJG Sammy,West Indies,South Africa,"Windsor Park, Roseau",1,0,1,bowled,7,47,263,5,0,8,46.0,115.0,40.0
439150,2,2010-05-30,2010,HM Amla,South Africa,West Indies,"Windsor Park, Roseau",115,129,1,caught,2,1,2,0,1,5,69.8,97.75910364145658,71.4
439150,2,2010-05-30,2010,JH Kallis,South Africa,West Indies,"Windsor Park, Roseau",54,51,1,caught,3,9,56,1,1,6,64.2,94.13489736070382,68.2
439150,2,2010-05-30,2010,AB de Villiers,South Africa,West Indies,"Windsor Park, Roseau",64,57,0,,4,29,175,2,1,6,80.0,113.7844611528822,99.75
452147,1,2010-05-30,2010,WU Tharanga,Sri Lanka,India,Queens Sports Club,2,1,1,run out,1,0,0,0,0,5,40.5,82.65306122448979,49.0
452147,2,2010-05-30,2010,KD Karthik,India,Sri Lanka,Queens Sports Club,26,18,1,caught,1,0,0,0,1,6,39.666666666666664,88.14814814814815,45.0
